Disease,Category,Diet/Foods,Medicines,Prevention
Allergic Rhinitis,Respiratory,"Anti-inflammatory foods, quercetin (onions, apples), omega-3 foods","Antihistamines (cetirizine, loratadine), nasal corticosteroids, decongestants","Avoid allergens, use air purifiers, keep windows closed in pollen season"
Anxiety Disorders,Mental Health,"Magnesium-rich foods, omega-3 fish, fermented foods, chamomile, dark chocolate","SSRIs, SNRIs, buspirone, benzodiazepines (short-term), therapy","Regular exercise, sleep hygiene, mindfulness, limit caffeine and alcohol"
Asthma,Respiratory,"Apples, bananas, magnesium-rich foods, omega-3 rich fish, vitamin D foods","Salbutamol inhaler, corticosteroid inhalers, leukotriene modifiers","Avoid triggers (dust, smoke, pollen), carry rescue inhaler, monitor peak flow"
Atherosclerosis,Cardiovascular,"Omega-3 fish, olive oil, nuts, whole grains, fruits and vegetables, limit saturated fat","Statins, aspirin, ACE inhibitors, beta-blockers, ezetimibe","Quit smoking, manage diabetes and hypertension, regular exercise, low-fat diet"
Bipolar Disorder,Mental Health,"Omega-3 rich foods, whole grains, leafy greens, limit sugar and caffeine","Lithium, valproate, lamotrigine, antipsychotics, psychotherapy","Medication adherence, stable sleep routine, avoid alcohol and drugs, therapy"
Bronchitis,Respiratory,"Warm fluids, honey and lemon, ginger tea, vitamin C foods, clear broths","Bronchodilators, expectorants, antibiotics if bacterial, cough suppressants","Quit smoking, avoid lung irritants, flu vaccination, rest and hydration"
Cerebral Palsy,Neurological,"High-calorie balanced diet, vitamin D, calcium, omega-3, soft textures if needed","Baclofen, botulinum toxin, physical therapy, occupational therapy, surgery","Regular therapy sessions, safety adaptations, monitor nutrition and development"
Chronic Obstructive Pulmonary...,Respiratory,"High-protein diet, omega-3, vitamin D and C, small frequent meals","Bronchodilators (salbutamol, tiotropium), inhaled corticosteroids, oxygen therapy","Quit smoking, pulmonary rehabilitation, avoid air pollutants, annual flu vaccine"
Cirrhosis,Digestive,"Low-sodium diet, high-protein if no encephalopathy, avoid alcohol, zinc-rich foods","Diuretics (spironolactone), lactulose, beta-blockers, liver transplant if end-stage","Avoid alcohol completely, hepatitis vaccination, regular liver monitoring"
Colorectal Cancer,Cancer,"High-fiber diet, cruciferous vegetables, limit red/processed meat, whole grains","Chemotherapy (FOLFOX), bevacizumab, surgical resection, radiation","Regular colonoscopy screening, maintain healthy weight, limit alcohol, exercise"
Common Cold,Respiratory,"Warm soups, citrus, garlic, ginger, zinc-rich foods","Antihistamines, decongestants, paracetamol, vitamin C","Frequent handwashing, avoid touching face, cover coughs"
Conjunctivitis (Pink Eye),Infectious,"Vitamin A-rich foods (carrots, sweet potato), vitamin C foods, zinc","Antibiotic eye drops if bacterial, antihistamine drops if allergic, antiviral if viral","Avoid touching eyes, frequent hand washing, do not share towels or eye makeup"
Dengue Fever,Infectious,"Papaya leaf juice, coconut water, pomegranate, kiwi, high-protein foods, ORS","Paracetamol (avoid NSAIDs/aspirin), IV fluids, platelet transfusion if severe","Use mosquito repellent, wear long sleeves, eliminate standing water"
Depression,Mental Health,"Omega-3 rich fish, folate-rich foods, whole grains, lean protein, dark chocolate","SSRIs, SNRIs, tricyclics, MAOIs, psychotherapy (CBT)","Regular exercise, social support, sleep routine, avoid alcohol, therapy"
Diabetes,Metabolic,"Leafy greens, whole grains, legumes, berries, lean proteins, low-GI foods","Metformin, insulin, GLP-1 agonists, SGLT2 inhibitors, sulfonylureas","Monitor blood sugar, foot care, regular eye exams, maintain healthy weight"
Eczema,Skin,"Fatty fish, probiotics, anti-inflammatory foods, quercetin-rich foods","Topical corticosteroids, antihistamines, moisturizers, calcineurin inhibitors","Moisturize daily, avoid known triggers, use mild soaps, wear cotton"
Epilepsy,Neurological,"Ketogenic diet (medically supervised), magnesium-rich, avoid alcohol","Valproate, lamotrigine, levetiracetam, carbamazepine, phenytoin","Medication adherence, avoid sleep deprivation, no alcohol, safety measures at home"
Gastroenteritis,Digestive,"BRAT diet (banana, rice, applesauce, toast), clear broths, ORS, boiled potatoes","Oral rehydration salts, antiemetics, probiotics, antibiotics if bacterial","Strict hand hygiene, safe food handling, avoid sharing utensils"
Hepatitis,Infectious,"High-protein foods, fruits and vegetables, whole grains, limit fats and sugar","Antivirals (tenofovir for HBV, sofosbuvir for HCV), interferon, liver support","Vaccination (Hep A & B), safe sex, avoid sharing needles, limit alcohol"
Hypertension,Cardiovascular,"DASH diet, low-sodium, bananas, beets, garlic, berries, leafy greens","ACE inhibitors, ARBs, diuretics, calcium channel blockers, beta-blockers","Monitor BP regularly, limit salt and alcohol, exercise, quit smoking, manage stress"
Hypertensive Heart Disease,Cardiovascular,"DASH diet, low-sodium, potassium-rich foods (bananas, sweet potato), oats","ACE inhibitors, beta-blockers, diuretics, calcium channel blockers, statins","Monitor BP daily, limit salt, quit smoking, exercise, weight management"
Hyperthyroidism,Endocrine,"Cruciferous vegetables, low-iodine foods, calcium-rich foods, berries","Methimazole, propylthiouracil, beta-blockers, radioactive iodine","Avoid iodine supplements, limit caffeine, regular thyroid monitoring"
Influenza,Infectious,"Chicken soup, hot broths, citrus fruits, ginger tea, honey","Oseltamivir (Tamiflu), antivirals, paracetamol, ibuprofen","Annual flu vaccine, hand hygiene, avoid crowds, rest"
Kidney Cancer,Cancer,"Fruits and vegetables, whole grains, lean protein, limit salt and processed foods","Sunitinib, pazopanib, nivolumab, surgical nephrectomy, targeted therapy","Quit smoking, maintain healthy weight, control blood pressure, stay hydrated"
Liver Cancer,Cancer,"Cruciferous vegetables, berries, turmeric, green tea, lean proteins, limit alcohol","Sorafenib, lenvatinib, surgical resection, liver transplant, ablation","Hepatitis B vaccination, avoid alcohol, healthy weight, regular screening"
Liver Disease,Digestive,"Low-fat, low-sodium diet, high-fiber, leafy greens, berries, avoid alcohol","Ursodeoxycholic acid, antivirals, diuretics, cholestyramine, liver transplant","Avoid alcohol and toxins, hepatitis vaccination, regular liver function tests"
Malaria,Infectious,"High-calorie nutritious diet, vitamin C, iron-rich foods (if anemic), adequate hydration","Artemisinin-based combination therapy (ACT), chloroquine, primaquine","Use bed nets, mosquito repellent, antimalarial prophylaxis when traveling"
Migraine,Neurological,"Magnesium-rich foods, riboflavin (B2) foods, avoid trigger foods (caffeine, alcohol, aged cheese)","Triptans (sumatriptan), NSAIDs, topiramate, beta-blockers (preventive), CGRP antagonists","Track triggers, maintain sleep schedule, stay hydrated, stress management"
Multiple Sclerosis,Neurological,"Vitamin D-rich foods, omega-3, antioxidant-rich fruits and vegetables, low saturated fat","Interferon beta, glatiramer acetate, natalizumab, siponimod, corticosteroids","Avoid extreme heat, manage fatigue, physical therapy, regular neurology follow-up"
Myocardial Infarction Heart...,Cardiovascular,"Mediterranean diet, omega-3 fish, oats, fruits and vegetables, low-sodium","Aspirin, thrombolytics, beta-blockers, ACE inhibitors, statins, angioplasty","Quit smoking, control BP and cholesterol, cardiac rehab, weight management"
Obsessive-Compulsive Disorde...,Mental Health,"Omega-3, magnesium-rich foods, probiotics, antioxidants, limit caffeine","SSRIs (fluoxetine, sertraline), clomipramine, cognitive behavioral therapy (ERP)","ERP therapy, medication adherence, reduce stress, support network, mindfulness"
Osteoporosis,Musculoskeletal,"Calcium-rich foods (dairy, kale), vitamin D, magnesium, lean protein, prunes","Bisphosphonates (alendronate), denosumab, calcium + vitamin D supplements","Weight-bearing exercise, fall prevention, avoid smoking and alcohol, bone density screening"
Pancreatitis,Digestive,"Low-fat diet, clear liquids, small frequent meals, fruits and vegetables","Pain relievers, IV fluids, enzyme supplements, antibiotics if infected","Avoid alcohol, limit fatty foods, maintain healthy weight, quit smoking"
Pneumonia,Respiratory,"High-protein foods, vitamin C, zinc-rich foods, warm broths, adequate hydration","Antibiotics (amoxicillin), antivirals if viral, oxygen therapy, rest","Pneumococcal and flu vaccination, quit smoking, hand hygiene, treat infections promptly"
Psoriasis,Skin,"Anti-inflammatory diet, omega-3, olive oil, fruits and vegetables, avoid gluten if sensitive","Topical corticosteroids, vitamin D analogues, biologics (adalimumab), methotrexate","Moisturize daily, avoid skin injury, limit alcohol, quit smoking, manage stress"
Rheumatoid Arthritis,Musculoskeletal,"Omega-3 fish, olive oil, berries, turmeric, leafy greens, nuts","Methotrexate, DMARDs, biologics (TNF inhibitors), NSAIDs, corticosteroids","Regular low-impact exercise, joint protection techniques, avoid smoking"
Rubella,Infectious,"Vitamin C-rich foods, warm fluids, fruits and vegetables, adequate hydration","Supportive care, paracetamol, rest (no specific antiviral)","MMR vaccination, isolate infected individuals, especially avoid pregnant women"
Sinusitis,Respiratory,"Hot liquids, spicy foods, garlic, ginger, vitamin C-rich foods, hydration","Nasal saline irrigation, decongestants, nasal corticosteroids, antibiotics if bacterial","Treat allergies promptly, use humidifier, avoid smoking, nasal hygiene"
Stroke,Cardiovascular,"DASH/Mediterranean diet, leafy greens, berries, whole grains, low-sodium foods","Aspirin, tPA (clot-busting), anticoagulants, statins, antihypertensives","Control BP and cholesterol, quit smoking, exercise, limit alcohol"
Ulcerative Colitis,Digestive,"Low-fiber during flares, probiotics, omega-3, cooked vegetables, lean proteins","Mesalamine, corticosteroids, immunomodulators, biologics (infliximab)","Identify trigger foods, reduce stress, regular colonoscopy, medication adherence"
Urinary Tract Infection ,Urinary,"Cranberry products, water, probiotics, vitamin C, D-mannose-rich foods","Nitrofurantoin, trimethoprim-sulfamethoxazole, ciprofloxacin, phenazopyridine","Stay well-hydrated, urinate after intercourse, wipe correctly, avoid holding urine"
